stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding,stop_timezone,stop_url,parent_station,location_type
1966,1966,SS. MEDIATRICE - REGIONE SICILIANA,,38.10047178,13.33287207,1,1,Europe/Rome,,,0
1615,1615,RABIN - SCALA VECCHIA,,38.14679333,13.35702167,1,1,Europe/Rome,,,0
1612,1612,R.T. MARCONI,,38.20141833,13.26768167,1,1,Europe/Rome,,,0
1613,1613,RABIN - AMMIRAGLIO RIZZO,,38.14375862,13.35747868,1,1,Europe/Rome,,,0
1610,1610,PUNTA BARCARELLO,,38.20857,13.28244333,1,1,Europe/Rome,,,0
1611,1611,PUNTA BARCARELLO,,38.20848667,13.28235,1,1,Europe/Rome,,,0
1768,1768,ROMA - POSTE,,38.120872278,13.361525354,1,1,Europe/Rome,,,0
1769,1769,ROMA - S. DOMENICO,,38.119205,13.36230833,1,1,Europe/Rome,,,0
1762,1762,ROMA - FS,,38.11196214,13.36591959,1,1,Europe/Rome,,,0
1763,1763,ROMA - LATTARINI,,38.11574173,13.36398304,1,1,Europe/Rome,,,0
1761,1761,ROMA - FIUME,,38.1122955767,13.3657121667,1,1,Europe/Rome,,,0
1766,1766,ROMA - PALAZZO GANCI,,38.11383,13.36500167,1,1,Europe/Rome,,,0
1767,1767,ROMA - POSTE,,38.12021325,13.36178362,1,1,Europe/Rome,,,0
1764,1764,ROMA - LATTARINI,,38.1155261,13.36418132,1,1,Europe/Rome,,,0
1765,1765,ROMA - PALAZZO GANCI,,38.11397752,13.36482257,1,1,Europe/Rome,,,0
1142,1142,MESSINA MARINE - CAPPELLO,,38.10667,13.384345,1,1,Europe/Rome,,,0
1143,1143,MESSINA MARINE - CAPPELLO,,38.10678833,13.38389333,1,1,Europe/Rome,,,0
1140,1140,MESSINA MARINE - BUCCHERI LA FERLA,,38.1061,13.38667833,1,1,Europe/Rome,,,0
1141,1141,MESSINA MARINE - BUCCHERI LA FERLA,,38.10648667,13.38568667,1,1,Europe/Rome,,,0
1147,1147,MESSINA MARINE - CLOBER,,38.10331167,13.39327,1,1,Europe/Rome,,,0
1144,1144,MESSINA MARINE - CARACAUSI,,38.100045,13.402815,1,1,Europe/Rome,,,0
1145,1145,MESSINA MARINE - CARACAUSI,,38.10042833,13.40179333,1,1,Europe/Rome,,,0
1148,1148,MESSINA MARINE - D' AOSTA,,38.105435,13.38859,1,1,Europe/Rome,,,0
1149,1149,MESSINA MARINE - D' AOSTA,,38.10586167,13.387675,1,1,Europe/Rome,,,0
692,692,DEL FANTE - PIAZZA NISCEMI,,38.16192099,13.33371075,1,1,Europe/Rome,,,0
1547,1547,PITRE' - AEROCLUB,,38.10944652,13.3121708,1,1,Europe/Rome,,,0
1544,1544,PISANI - INGRIA,,38.10648656,13.34499031,1,1,Europe/Rome,,,0
691,691,DEL FANTE - PIANO MAGLIO,,38.0507727,13.3088549875,1,1,Europe/Rome,,,0
1542,1542,PISANI - INDIPENDENZA,,38.10908022,13.34972151,1,1,Europe/Rome,,,0
697,697,DEL FANTE - TEATRO DELLA VERDURA,,38.16045795,13.33478656,1,1,Europe/Rome,,,0
694,694,DEL FANTE - PIAZZETTA SALERNO,,38.15545253,13.33863884,1,1,Europe/Rome,,,0
695,695,DEL FANTE - STADIO DELLE PALME,,38.15423872,13.33952531,1,1,Europe/Rome,,,0
698,698,DEL FANTE - VILLA ROSATO,,38.16129654,13.33428688,1,1,Europe/Rome,,,0
699,699,DEL VESPRO - DELLE CLINICHE,,38.10551333,13.36262833,1,1,Europe/Rome,,,0
1548,1548,PITRE' - AEROCLUB,,38.10946167,13.31131,1,1,Europe/Rome,,,0
1549,1549,PITRE' - ALTARELLO,,38.11046167,13.336315,1,1,Europe/Rome,,,0
542,542,CRISTOFORO COLOMBO - PIETRO ROMBULO,,38.193020835,13.34129583,1,1,Europe/Rome,,,0
543,543,CRISTOFORO COLOMBO - ROOSEVELT,,38.19017305,13.34547579,1,1,Europe/Rome,,,0
540,540,CRISTOFORO COLOMBO - PIETRO DE GUEVARA,,38.188933335,13.34838667,1,1,Europe/Rome,,,0
541,541,CRISTOFORO COLOMBO - PIETRO ROMBULO,,38.19314,13.34096,1,1,Europe/Rome,,,0
547,547,CRISTOFORO COLOMBO - VERGINE MARIA,,38.16699333,13.366205,1,1,Europe/Rome,,,0
544,544,CRISTOFORO COLOMBO - ROOSEVELT,,38.1899525,13.345955835,1,1,Europe/Rome,,,0
545,545,CRISTOFORO COLOMBO - VERGINE MARIA,,38.16652668,13.36598933,1,1,Europe/Rome,,,0
548,548,CRISTOFORO COLOMBO 1,,38.18503333,13.36246333,1,1,Europe/Rome,,,0
549,549,CRISTOFORO COLOMBO 4,,38.17298333,13.36603833,1,1,Europe/Rome,,,0
764,764,ERMELLINO - LONTRA,,38.08565681,13.35858777,1,1,Europe/Rome,,,0
765,765,ERMELLINO - LONTRA,,38.08570256,13.35885425,1,1,Europe/Rome,,,0
414,414,CHIAVELLI - COLNAGO,,38.08578031,13.36922005,1,1,Europe/Rome,,,0
410,410,CHIAVELLI - AL CASALE,,38.09159522,13.3687447,1,1,Europe/Rome,,,0
411,411,CHIAVELLI - BAGNERA,,38.08198017,13.36760938,1,1,Europe/Rome,,,0
412,412,CHIAVELLI - CADUTI DELL'8 LUGLIO 1960,,38.09654716,13.36884624,1,1,Europe/Rome,,,0
413,413,CHIAVELLI - CARDINALE,,38.07998185,13.36815119,1,1,Europe/Rome,,,0
1384,1384,PARISIO - FALCANDO,,38.12580667,13.33747,1,1,Europe/Rome,,,0
1386,1386,PARISIO - LANCIA DI BROLO,,38.12505236,13.33427975,1,1,Europe/Rome,,,0
1387,1387,PARLATORE - ADRIA,,38.12511167,13.34364,1,1,Europe/Rome,,,0
418,418,CHIAVELLI - PLEIADI,,38.09313198,13.36866424,1,1,Europe/Rome,,,0
1381,1381,PARCHEGGIO GALATEA,,38.20104,13.32267,1,1,Europe/Rome,,,0
1382,1382,PARCHEGGIO MONGIBELLO ALTO,,38.20719727,13.32191393,1,1,Europe/Rome,,,0
1383,1383,PARCHEGGIO MONGIBELLO BASSO,,38.2070687,13.32284599,1,1,Europe/Rome,,,0
368,368,CASTELLANA - S. ISIDORO,,38.12556754,13.29897165,1,1,Europe/Rome,,,0
366,366,CASTELLANA - ROCCAZZO,,38.12571629,13.31136078,1,1,Europe/Rome,,,0
367,367,CASTELLANA - ROGAZIONISTI,,38.12563942,13.30097628,1,1,Europe/Rome,,,0
364,364,CASTELLANA - PANTALICA,,38.12583722,13.29229893,1,1,Europe/Rome,,,0
362,362,CASTELLANA - MODICA,,38.12579753,13.2983923,1,1,Europe/Rome,,,0
363,363,CASTELLANA - MONTEVAGO,,38.12546309,13.29345435,1,1,Europe/Rome,,,0
360,360,CASTELLANA - LERCARA,,38.12584922,13.30003088,1,1,Europe/Rome,,,0
